60,8
3,1,2,2,2,1,3,2,1,1,3,3,2,1,2,2,3,2,3,2,3,3,1,3,1,3,2,3,1,1,2,3,1,3,2,3,1,2,1,1,2,2,1,2,1,2,2,3,1,3,2,3,2,2,1,3,3,3,3,3
2,1,1,1,2,1,1,3,3,1,2,1,3,3,2,3,2,3,3,3,1,3,2,1,2,2,2,3,3,1,3,2,3,3,2,1,2,2,3,3,3,3,1,3,3,2,2,1,1,2,2,2,2,3,1,2,2,1,3,3
25,52,20,79,104,100,9,77,58,61,58,113,48,71,47,14,89,62,3,66,45,6,68,14,1,59,13,15,18,70,29,117,5,60,79,31,38,29,9,111,64,82,47,56,3,25,75,86,50,43,1,119,74,18,9,78,5,101,52,2
133,139,121,141,127,133,121,123,143,124,121,142,134,130,120,125,120,128,121,118,126,127,138,127,143,137,120,141,143,133,125,131,119,122,137,136,137,131,126,136,119,130,137,136,140,140,142,143,138,118,139,139,137,120,134,128,124,130,137,128
14,42,28,17,10,34,45,28,36,28,15,29,41,23,12,16,21,31,14,17,43,12,14,49,5,44,48,25,20,33,30,4,30,33,18,16,46,21,43,26,27,6,30,22,2,43,26,9,6,42,44,18,22,31,42,29,30,16,34,38
16,43,29,15,10,33,45,31,34,28,13,32,40,28,11,13,20,33,14,17,38,13,13,46,6,39,47,25,19,37,32,4,27,33,19,18,44,22,41,25,25,6,27,23,2,51,22,9,7,44,40,19,25,32,41,25,34,15,36,35
16,37,26,15,10,28,47,32,35,31,14,31,45,26,12,16,23,34,13,18,44,13,13,51,6,44,43,27,19,32,32,4,26,33,17,19,47,19,44,26,25,6,26,25,2,50,23,10,6,43,42,17,21,34,38,30,31,14,39,36
15,38,25,17,9,30,41,28,34,27,16,33,42,27,10,16,22,32,14,17,38,12,14,53,5,43,47,25,17,38,32,3,27,34,18,16,47,22,42,25,23,6,29,24,2,44,26,10,7,47,45,17,25,34,42,25,30,15,34,35
16,42,30,15,9,30,46,29,34,25,16,32,39,25,10,15,21,36,13,18,45,11,14,49,5,43,49,29,20,37,30,4,28,36,16,19,43,19,43,26,22,6,29,22,2,49,25,10,7,46,47,17,24,31,40,25,29,14,35,36
15,44,25,16,9,31,44,29,36,27,15,31,38,24,10,14,22,33,13,18,42,12,14,47,5,38,48,26,18,34,31,4,28,32,19,18,41,20,41,24,25,5,27,24,2,50,22,9,6,40,45,15,23,31,43,29,31,16,35,43
15,39,28,16,9,29,45,26,38,29,13,33,38,28,10,16,21,35,15,17,39,12,15,53,6,40,45,28,20,37,33,4,28,32,19,17,44,22,47,23,23,5,28,25,2,47,24,9,6,43,43,17,24,33,38,27,33,14,34,42
17,44,30,17,10,32,42,32,34,28,14,31,42,25,10,13,19,34,15,19,42,13,15,46,6,37,45,27,18,33,30,4,30,32,17,17,42,22,46,26,24,5,30,26,2,51,25,10,5,42,42,18,24,33,43,30,29,15,38,37
