100,6
1,3,1,1,3,1,3,3,2,1,1,1,2,1,3,3,2,1,3,2,2,1,2,3,3,2,2,2,3,3,2,3,1,3,1,1,2,1,1,1,2,3,3,3,1,2,2,1,1,3,3,2,2,1,1,1,1,1,2,2,2,2,1,1,3,3,2,1,1,3,1,2,2,2,2,3,1,1,1,2,2,2,1,1,1,3,3,3,2,2,1,2,3,1,3,2,1,2,1,1
3,2,3,3,2,1,1,2,3,2,2,1,2,1,3,3,1,2,1,1,3,3,3,3,1,1,2,1,1,2,3,2,3,2,3,1,3,1,3,2,1,3,3,2,1,3,1,3,3,3,3,3,2,2,2,2,3,1,3,2,3,2,2,3,2,3,3,1,2,2,1,2,1,3,2,3,2,2,2,1,2,1,3,1,3,3,1,1,1,3,3,3,1,1,3,3,3,2,3,3
134,92,169,139,119,114,111,189,57,71,26,248,25,192,62,108,45,137,18,223,23,45,77,9,168,164,158,169,133,127,31,66,2,110,195,161,194,136,100,34,23,192,12,85,133,173,162,55,66,170,174,52,44,113,135,188,93,139,171,24,208,102,178,123,100,193,137,119,209,8,154,161,203,61,110,196,258,146,80,53,88,38,201,244,155,77,99,173,207,100,108,207,13,65,137,175,143,168,202,135
256,251,296,276,245,272,285,281,249,272,266,281,249,279,273,255,293,256,263,283,280,274,245,249,271,267,277,248,268,260,284,282,295,265,252,270,260,289,276,267,285,285,250,292,291,292,252,283,245,296,270,255,259,274,296,269,251,292,291,252,293,259,276,263,263,295,251,282,282,248,247,286,297,284,273,265,262,278,245,288,270,279,258,272,255,262,290,291,245,284,276,276,254,273,246,288,297,276,272,260
31,24,48,47,1,20,40,39,31,29,26,11,10,26,4,18,9,43,33,4,17,5,33,25,9,20,12,5,28,53,17,22,22,17,14,1,50,42,33,27,34,40,46,3,1,26,1,5,45,38,27,8,3,26,7,36,32,7,35,43,33,47,5,34,20,19,39,11,18,45,39,43,20,46,43,8,3,12,16,40,49,4,33,2,19,3,9,8,28,23,8,31,43,9,46,27,14,39,41,49
31,22,44,52,1,19,33,35,30,30,24,12,9,24,4,18,10,42,34,5,17,5,33,24,10,21,11,4,29,53,15,21,21,18,16,1,48,39,33,30,35,44,52,3,1,25,1,5,42,43,24,7,3,25,7,37,26,8,40,43,32,50,5,38,21,18,38,10,20,41,44,40,19,51,49,9,3,11,17,45,44,4,31,2,18,3,9,9,27,22,7,29,46,9,43,24,15,44,42,51
30,23,50,50,1,18,37,39,31,27,25,11,9,24,4,20,11,41,38,4,19,5,34,22,10,22,13,4,29,51,15,21,20,17,14,1,46,43,30,26,30,42,44,3,1,27,1,5,42,45,24,8,3,27,7,39,30,8,33,46,31,45,5,36,17,19,41,11,19,37,41,38,20,51,52,9,3,11,17,45,46,4,30,3,19,3,9,9,28,24,7,28,44,9,46,27,12,43,45,46
31,20,44,49,1,19,33,36,32,26,25,13,11,23,4,20,9,42,32,5,18,5,37,23,9,23,13,5,28,52,15,21,22,17,16,1,44,43,34,28,30,40,51,3,1,29,1,4,50,43,26,7,3,27,7,37,30,8,34,42,32,50,5,39,20,18,36,10,21,43,45,41,19,45,43,8,3,11,18,42,47,3,32,2,20,4,9,9,29,25,7,29,48,9,46,24,14,44,41,45
34,24,49,53,1,20,38,36,30,30,28,12,10,27,4,20,9,40,38,4,16,6,34,24,9,20,12,4,28,53,14,23,21,18,15,1,51,43,29,27,35,37,49,3,1,26,1,5,50,42,26,7,3,26,7,42,32,8,36,43,33,41,4,37,20,18,40,11,22,41,42,42,20,54,43,8,4,12,18,46,47,3,30,2,21,3,10,9,28,25,7,26,51,8,47,27,14,42,45,49
32,23,50,50,1,20,34,34,33,27,29,12,10,25,4,18,10,41,38,4,18,6,32,24,9,23,12,4,30,53,15,19,22,17,14,1,48,39,30,29,35,44,49,2,1,29,1,5,44,42,26,8,3,28,8,44,29,7,36,44,32,47,5,41,20,20,39,10,21,41,42,40,18,51,44,9,3,11,16,43,46,3,34,3,19,3,9,9,28,21,7,30,52,9,40,27,13,47,39,45
