40,12
1,3,3,3,1,3,1,1,2,3,2,1,3,2,1,3,3,2,1,2,1,2,2,1,3,1,1,3,2,3,2,1,3,3,3,1,3,1,3,3
2,2,2,3,2,1,2,2,1,3,2,2,2,1,2,3,1,1,1,1,1,1,2,3,1,2,2,3,3,1,3,3,2,2,2,1,3,3,2,2
25,11,9,7,19,5,13,8,12,26,6,1,26,2,31,21,14,15,10,2,6,33,27,36,12,32,18,0,52,20,51,5,41,12,1,26,0,3,3,33
62,60,59,63,61,65,61,66,57,67,59,66,63,56,63,58,66,55,57,64,67,64,58,61,66,62,66,59,61,61,56,59,55,64,60,64,65,62,63,61
36,39,36,22,26,47,13,27,41,46,26,40,32,41,38,10,22,1,19,17,43,37,9,10,42,33,43,35,9,36,4,31,13,45,9,28,29,31,8,28
38,34,34,21,26,46,13,30,43,41,24,34,32,41,35,11,20,1,18,19,46,37,8,11,50,27,37,36,9,43,4,33,16,50,10,33,27,35,8,30
36,35,30,24,29,53,12,31,41,42,28,35,32,42,37,10,20,1,17,20,39,36,9,9,50,33,44,38,10,36,4,30,13,46,9,33,27,33,9,30
35,34,32,22,27,47,14,31,47,46,25,37,32,43,33,10,23,1,19,18,44,33,9,10,51,31,36,37,10,42,4,33,13,49,9,28,27,35,8,26
40,37,32,20,25,47,15,27,43,40,26,35,32,44,35,10,21,1,17,21,43,36,8,10,45,30,41,36,10,41,4,34,13,45,9,33,26,37,8,27
36,36,34,24,25,51,14,28,47,40,26,37,38,42,35,11,20,1,18,20,40,35,9,11,49,28,40,34,9,41,4,33,16,44,8,31,26,34,8,26
38,39,34,21,26,48,14,31,41,40,28,35,32,41,37,9,23,1,19,20,39,33,9,10,50,29,39,36,11,41,3,34,14,52,10,34,31,37,8,27
33,35,34,21,25,53,12,30,41,40,28,39,37,41,33,10,23,1,18,18,41,31,10,10,46,31,42,35,9,40,3,33,15,47,8,28,27,35,10,28
39,40,30,22,28,47,13,29,46,41,27,38,37,37,34,9,23,1,19,19,41,34,10,11,42,29,44,33,11,36,3,30,14,47,9,30,29,31,9,26
34,39,32,23,27,46,13,31,41,43,25,35,34,42,32,10,20,1,18,19,43,34,9,9,49,32,41,37,10,43,4,29,13,53,9,34,27,35,9,28
37,34,35,20,29,46,14,30,43,39,26,37,32,41,38,9,22,1,20,17,40,31,9,9,48,31,44,34,10,37,3,29,13,46,8,34,26,33,9,27
38,35,36,23,24,54,12,30,48,45,26,40,32,38,33,9,20,1,18,18,46,33,10,10,44,28,42,40,10,40,4,30,15,46,9,34,28,36,8,27
