60,8
1,3,3,1,1,1,2,1,2,1,2,2,1,3,1,1,3,2,2,2,3,3,3,2,1,2,2,2,2,3,3,1,1,3,1,3,2,2,3,1,1,3,3,2,1,3,1,1,2,3,1,2,1,1,3,2,2,2,3,3
1,2,2,2,1,3,1,1,3,2,3,1,3,3,1,2,3,1,3,3,2,2,2,3,1,1,2,2,2,2,1,1,2,2,1,3,3,1,2,3,3,1,3,3,3,1,3,1,1,2,1,3,3,3,2,1,2,3,3,3
88,76,102,41,4,87,15,19,28,69,126,80,40,84,41,51,83,68,1,12,7,5,52,21,35,45,48,52,9,24,1,28,35,32,46,65,79,28,77,81,75,77,68,26,56,22,0,42,70,54,80,23,56,89,26,70,65,65,113,25
122,116,137,118,122,126,117,131,136,133,134,119,131,126,128,130,121,138,126,115,114,119,135,127,129,128,127,116,116,131,126,136,121,129,134,125,131,131,119,121,115,114,138,115,122,119,131,121,118,122,123,119,133,119,128,126,125,137,119,136
22,39,39,10,17,7,16,44,21,42,5,30,15,34,22,14,34,41,39,5,29,45,3,48,7,30,51,15,17,37,25,38,39,31,1,43,35,31,5,31,45,12,40,27,34,2,1,48,25,9,22,4,43,18,34,48,15,10,6,22
23,41,37,10,20,8,17,47,23,38,6,30,15,32,22,13,38,41,36,5,30,48,4,48,7,31,49,16,15,40,24,37,47,27,1,43,35,28,4,27,41,11,45,30,34,2,1,49,22,9,24,4,42,16,34,44,13,11,6,22
22,38,35,10,19,7,16,47,24,37,5,30,18,32,20,14,35,38,35,5,32,51,3,44,7,30,51,14,17,35,21,38,39,30,1,36,37,28,4,30,43,12,43,28,39,2,1,43,26,9,23,3,44,17,35,40,15,10,6,20
21,43,37,10,20,8,15,44,22,39,5,29,16,36,22,14,35,39,42,5,27,50,3,44,7,32,48,16,15,38,22,38,45,30,1,43,38,31,4,32,46,12,38,28,38,2,1,46,26,10,23,3,45,15,29,42,13,13,6,22
24,40,40,10,19,7,16,49,23,39,5,27,15,35,18,15,35,35,38,5,31,50,3,49,7,31,45,16,16,37,25,38,45,26,1,41,35,29,4,30,39,12,41,26,38,2,1,46,22,9,23,3,48,18,32,45,14,12,5,23
21,36,40,11,18,8,15,46,21,43,6,29,16,34,22,15,39,39,40,5,29,51,3,45,6,29,52,17,17,38,21,38,40,28,1,36,38,32,4,32,43,12,40,25,36,2,1,51,24,9,23,3,49,16,33,44,13,11,6,23
22,37,33,10,20,7,16,48,22,39,5,32,17,31,21,15,39,38,38,6,29,44,3,42,7,34,54,15,15,36,24,36,40,29,1,41,35,28,5,30,44,13,40,30,38,2,1,45,22,9,24,3,42,16,35,43,15,12,5,21
21,36,40,10,18,8,16,46,22,41,5,27,17,32,22,15,39,38,40,5,28,46,3,43,7,32,50,17,16,35,25,35,43,30,1,37,34,29,4,31,38,12,41,26,36,2,1,49,24,10,21,3,45,15,31,43,13,13,6,20
