80,6
2,2,1,3,3,3,2,1,2,2,1,1,2,3,3,2,3,2,3,3,3,2,3,3,1,1,3,1,3,3,2,3,2,3,2,1,1,1,1,3,2,2,2,1,1,1,1,3,2,2,3,3,3,1,1,1,3,2,2,1,1,3,3,2,1,2,1,3,1,2,2,1,2,1,1,2,1,3,2,2
1,3,3,3,1,1,3,1,3,3,3,1,1,2,1,1,3,1,3,2,3,2,1,3,1,1,1,3,3,1,2,3,1,1,2,3,1,1,3,3,2,3,1,1,2,1,3,1,3,1,2,1,3,3,2,3,1,2,3,3,3,1,3,1,3,2,3,1,1,3,1,2,1,3,1,2,1,3,2,1
206,182,64,165,59,10,189,33,84,95,5,28,119,121,14,198,139,96,58,106,164,84,153,158,38,46,37,128,94,102,28,43,61,118,140,57,135,84,74,37,145,87,123,188,21,68,47,191,152,192,155,54,190,50,205,163,55,91,147,107,2,127,185,164,9,56,95,62,146,1,13,22,47,152,2,133,80,60,37,182
231,236,226,221,207,218,229,229,221,216,238,216,236,197,219,233,202,223,197,202,213,212,212,210,230,238,202,197,238,198,225,213,227,233,214,230,227,210,224,197,204,205,198,223,201,231,230,226,230,222,228,232,227,236,235,238,198,209,231,225,238,209,216,215,211,232,208,205,217,200,223,197,234,212,238,202,207,228,220,211
25,20,7,10,15,7,24,11,22,20,26,46,49,12,8,2,24,42,5,23,1,6,16,14,48,27,3,45,3,28,8,21,35,30,37,41,1,35,20,18,22,11,49,1,4,17,30,15,36,19,43,48,22,6,30,25,27,34,16,19,38,39,8,51,30,29,24,38,33,33,39,31,39,20,34,25,46,22,46,19
24,21,7,11,15,6,24,11,25,18,29,41,47,13,7,2,23,39,5,24,1,6,19,15,51,30,3,45,3,27,8,18,32,29,36,38,1,35,21,17,25,10,49,1,3,19,35,15,35,19,42,49,21,7,28,24,25,36,18,16,40,37,7,47,33,27,26,43,32,33,43,29,36,22,30,25,50,24,51,17
26,24,8,10,15,6,23,10,23,19,29,44,42,12,8,2,26,45,5,26,1,6,18,13,45,31,3,43,3,32,9,20,34,32,36,41,1,31,21,18,25,11,43,1,4,18,30,16,38,19,41,42,21,6,28,28,27,36,17,19,41,40,8,52,33,27,25,41,32,37,43,31,36,21,30,23,45,24,49,19
23,21,7,10,13,7,22,10,23,18,28,41,46,12,7,3,23,41,5,22,1,5,19,15,49,28,3,46,3,32,10,20,34,32,35,37,1,36,22,19,24,10,49,1,3,16,31,15,41,19,37,44,21,8,26,24,25,37,17,16,37,40,8,52,28,28,27,37,33,37,40,31,37,23,32,21,50,23,53,18
26,20,7,9,14,7,21,11,24,18,27,42,49,14,8,3,22,38,5,26,1,6,19,14,49,30,4,48,3,29,9,20,34,28,38,37,1,32,19,20,25,10,46,1,4,18,30,15,36,19,40,50,20,8,26,26,24,32,16,16,36,38,8,45,32,27,26,44,32,37,41,30,37,23,32,26,46,22,53,19
22,22,7,9,13,7,24,10,25,17,25,46,46,14,7,3,26,41,5,22,1,6,16,15,46,29,4,51,3,29,9,22,36,32,37,38,1,36,21,19,22,12,43,1,4,17,31,16,38,21,43,46,21,7,30,25,28,35,16,16,41,39,8,53,33,25,25,45,31,35,39,33,40,22,31,24,43,24,46,19
