80,10
1,1,2,2,2,2,3,2,2,2,1,1,3,1,2,1,3,1,3,2,1,2,3,2,2,3,3,1,2,1,2,3,2,2,1,2,2,2,3,2,1,1,3,1,2,2,1,2,1,1,2,1,3,3,3,2,2,1,1,2,3,3,1,1,3,2,1,1,1,2,2,2,1,2,1,2,1,2,1,2
1,2,3,3,3,1,2,3,3,2,3,2,2,1,1,1,3,1,2,3,1,2,2,3,3,2,2,3,2,3,3,3,1,2,1,2,1,2,1,3,1,2,1,3,3,1,3,1,1,1,1,2,3,3,3,1,2,2,3,1,3,3,3,3,1,1,2,2,1,3,1,1,3,1,2,2,2,1,3,3
109,90,75,10,79,28,77,19,47,14,51,98,38,41,77,57,96,69,101,54,64,70,106,85,136,74,24,88,109,8,26,53,55,51,52,66,95,50,28,22,64,112,99,16,64,92,11,40,109,39,17,88,81,17,74,118,90,2,82,29,19,39,122,45,84,24,0,129,53,121,128,130,66,36,70,116,56,38,83,42
152,150,134,139,144,147,158,144,153,143,143,153,139,155,148,140,143,153,153,148,151,140,134,145,159,134,140,143,146,153,143,152,137,152,133,154,156,139,152,150,155,142,152,133,154,132,145,136,151,144,135,149,152,143,131,134,153,138,152,136,134,157,151,145,131,149,152,157,155,149,140,158,140,131,142,151,144,152,150,134
21,28,49,27,12,14,39,42,31,46,25,23,48,6,7,10,15,5,46,5,40,48,19,19,18,43,50,13,17,37,8,33,46,2,19,29,38,18,30,42,22,22,30,16,12,39,46,34,7,16,38,44,27,35,8,2,44,37,4,24,46,29,30,1,43,49,43,32,3,17,6,24,43,51,31,38,2,41,43,42
25,25,53,32,12,14,41,41,29,49,29,21,42,7,7,12,15,6,45,4,41,47,18,18,19,38,51,14,16,38,8,31,43,2,20,26,39,17,26,44,22,23,32,18,13,41,44,30,6,19,43,45,27,34,9,2,39,41,4,24,40,26,31,1,49,49,41,28,2,20,5,22,44,48,32,38,2,47,37,39
21,25,53,30,11,13,45,42,28,47,24,23,47,7,7,11,16,6,43,5,38,50,20,20,19,44,48,15,15,36,9,33,43,2,21,29,43,18,26,44,21,23,30,17,12,42,50,27,6,18,38,49,27,30,9,2,45,43,4,25,45,29,27,1,45,52,41,32,2,17,5,22,46,47,31,40,2,41,43,39
22,24,49,30,12,15,44,41,34,43,25,21,39,6,6,10,14,5,47,5,38,51,20,18,19,40,54,14,16,39,8,34,40,2,21,27,44,17,30,38,21,21,30,16,13,39,46,27,7,17,41,43,23,36,9,2,43,39,4,23,41,29,31,1,49,44,45,31,3,18,6,20,43,49,28,39,2,47,36,47
24,26,51,31,13,15,42,46,33,44,26,23,42,6,6,11,16,6,51,4,41,45,19,16,20,39,54,15,15,36,9,33,41,2,19,28,41,17,30,37,22,24,35,15,12,36,45,33,7,18,37,46,25,34,8,2,40,38,4,21,43,29,29,1,52,45,45,28,3,19,5,24,43,46,26,35,2,46,42,47
23,29,45,31,12,14,47,44,30,45,26,22,46,7,7,10,15,5,50,5,40,46,19,18,20,44,48,13,16,33,9,35,41,2,18,28,42,20,28,37,21,22,32,17,11,37,50,33,7,18,39,41,24,36,8,2,43,40,4,23,40,25,32,1,50,48,38,32,2,19,6,22,48,51,31,35,2,41,42,42
21,26,47,28,11,14,40,46,33,46,29,22,45,7,7,12,14,5,43,5,39,45,18,19,19,44,47,14,15,34,8,32,39,2,19,29,41,18,25,40,22,23,35,17,13,39,48,30,6,17,40,48,23,33,9,2,42,40,4,22,40,29,27,1,47,52,42,32,2,20,6,22,49,53,28,37,2,42,43,42
24,25,45,29,12,13,45,45,30,43,28,23,42,6,7,12,16,6,45,4,37,46,19,18,21,39,52,12,17,33,9,31,43,2,20,28,41,18,26,43,22,24,35,16,13,40,51,34,6,18,40,43,25,35,9,2,42,36,4,23,46,28,32,1,50,50,38,27,3,18,5,23,48,45,26,37,2,41,37,44
25,25,54,28,12,15,45,44,33,48,25,20,46,7,7,11,16,6,46,5,41,44,20,18,19,37,53,13,15,37,9,32,43,2,18,27,42,20,27,38,22,23,35,18,13,37,47,29,6,17,38,49,23,30,9,2,41,39,4,22,42,27,30,1,47,49,44,28,3,18,5,22,48,50,30,40,2,39,41,44
21,29,51,28,11,15,43,47,30,44,27,20,48,6,7,11,14,5,48,4,39,50,19,19,17,40,47,12,17,33,8,34,40,2,19,26,44,20,28,42,23,21,35,17,11,39,53,31,6,16,42,44,26,36,9,2,39,37,4,21,41,26,32,1,51,47,39,27,3,17,6,20,48,52,31,35,2,42,41,41
