60,6
2,1,2,2,1,2,1,3,1,3,1,2,1,3,3,2,3,2,2,2,2,3,2,2,1,1,2,3,2,3,2,3,3,3,2,2,2,1,2,3,2,1,1,1,3,2,1,2,3,3,1,3,1,2,3,2,2,2,1,3
1,3,1,3,3,2,2,2,3,2,3,2,1,2,2,3,1,3,1,3,2,3,3,2,3,2,1,1,2,3,1,3,1,3,3,1,3,1,2,3,2,1,1,3,2,3,2,2,1,2,3,1,2,1,3,3,2,3,2,2
155,23,80,72,46,24,31,9,153,40,12,137,83,138,64,71,46,111,50,64,35,109,68,16,42,52,115,98,57,121,129,52,62,6,77,8,15,72,139,124,48,131,25,56,91,19,74,99,14,43,94,2,19,151,114,98,30,103,139,87
183,172,174,176,169,159,172,170,173,158,174,181,160,164,168,172,159,167,180,169,165,162,160,153,172,180,169,168,164,183,165,158,164,174,156,169,171,153,159,166,179,163,179,171,152,161,155,163,161,183,183,176,163,182,152,175,163,159,182,156
27,25,34,9,22,4,29,7,7,45,45,7,8,6,46,40,45,30,52,32,8,39,9,15,41,31,33,42,25,37,4,36,24,38,19,52,18,45,2,38,37,1,12,35,9,13,5,11,50,38,4,13,34,23,24,42,16,12,48,23
24,29,33,9,20,4,35,7,6,39,46,9,9,7,43,42,40,30,45,33,8,38,10,16,41,33,34,38,25,34,4,38,26,43,21,46,19,50,2,36,34,1,13,29,9,12,4,11,51,35,4,14,37,22,27,44,16,12,46,26
26,29,35,9,22,3,34,7,7,44,44,9,8,6,41,39,43,29,48,35,8,33,10,14,35,30,32,42,24,35,4,35,24,41,19,44,18,50,1,36,37,1,12,30,9,13,5,10,42,36,4,13,32,21,27,50,16,11,49,23
25,26,35,9,21,4,34,7,6,42,50,9,9,6,44,41,40,29,43,31,8,37,10,15,35,28,37,38,26,34,4,40,28,43,21,51,18,54,2,35,41,1,13,34,10,15,4,10,43,33,4,13,33,23,25,46,16,11,47,27
25,24,32,9,20,3,33,8,7,41,46,8,8,6,38,45,40,27,44,29,8,38,10,14,40,29,37,42,27,36,4,39,26,37,20,47,17,45,2,35,41,1,14,29,9,14,4,11,42,37,4,12,33,21,24,49,15,10,45,24
27,27,31,8,21,3,30,8,6,45,43,9,9,7,43,44,43,30,44,33,9,32,9,15,43,31,35,35,26,35,4,35,23,40,19,45,19,47,1,39,35,1,14,30,9,13,5,10,45,36,4,12,38,22,28,49,14,11,41,23
