40,10
1,3,2,2,3,3,1,3,1,1,1,2,3,3,2,3,2,3,2,3,3,2,2,2,1,2,3,1,3,1,2,2,2,3,1,2,1,2,2,3
2,2,1,3,1,1,3,3,3,3,2,1,1,3,3,3,1,3,2,1,2,3,1,2,2,1,1,1,2,3,1,1,2,3,2,1,1,3,1,1
10,13,32,25,14,2,5,14,21,34,26,11,5,48,3,42,52,40,30,19,33,13,49,44,11,35,28,21,14,1,39,2,26,15,27,11,10,17,8,1
62,68,73,64,67,75,73,66,72,70,71,68,65,69,70,70,74,75,68,74,70,64,64,75,63,70,74,75,71,71,71,69,64,73,69,70,65,69,65,75
13,34,33,30,53,3,48,42,15,30,41,41,20,10,35,23,11,29,36,49,39,6,12,37,33,25,5,25,11,23,10,42,11,38,17,21,34,13,2,39
14,33,33,28,48,3,52,43,15,28,42,41,19,11,39,27,10,28,33,44,41,5,12,34,35,26,4,26,10,20,11,50,13,38,15,19,33,13,2,39
13,38,35,27,47,3,51,40,14,25,46,44,20,12,36,26,10,28,36,51,42,6,12,35,31,25,5,23,12,22,11,50,12,33,16,20,30,14,2,46
12,36,36,29,48,3,50,42,15,28,40,41,19,11,34,26,11,27,34,51,40,6,12,35,33,25,4,24,11,22,10,44,12,33,16,22,34,12,2,45
14,32,32,31,48,3,49,40,14,27,44,41,21,10,34,26,12,29,31,43,42,5,12,34,32,28,4,22,11,21,10,44,12,34,15,21,32,12,2,46
15,35,31,32,45,4,48,43,14,29,41,44,20,12,33,25,11,27,31,49,40,5,12,36,36,29,5,26,10,22,10,43,12,38,17,21,30,12,2,46
15,37,31,30,47,4,50,45,13,30,46,40,21,12,39,25,10,27,31,49,36,6,11,31,31,25,5,22,12,23,11,49,13,34,17,23,31,12,2,43
14,37,35,32,45,4,50,40,14,28,42,38,20,10,34,27,11,26,32,44,36,6,11,31,37,27,5,26,12,19,10,49,12,35,17,21,35,12,2,40
12,38,31,30,53,4,45,43,13,27,45,43,21,12,35,24,11,26,31,44,39,5,13,31,34,27,4,23,10,21,10,47,13,37,14,19,30,13,2,44
13,36,31,31,47,4,43,40,13,28,41,44,18,10,33,26,10,29,34,51,38,5,11,31,31,25,5,25,12,23,9,43,12,33,16,21,31,13,2,41
