120,8
2,3,3,1,2,1,3,2,2,1,1,1,1,3,3,3,3,3,2,1,1,3,3,1,3,3,1,1,1,1,1,3,1,3,3,1,2,2,2,2,2,3,1,2,2,2,2,3,3,1,3,2,1,1,1,1,3,1,1,3,2,3,3,3,3,3,3,3,1,3,3,2,3,1,2,1,2,3,1,2,1,3,3,3,2,1,2,2,3,2,2,3,1,3,1,3,2,3,3,2,1,1,2,2,1,3,3,2,1,2,1,2,2,1,1,2,1,2,2,2
3,3,3,2,3,3,2,1,3,1,3,1,1,1,1,1,1,3,3,2,2,1,2,1,3,1,3,1,1,2,1,1,3,2,3,1,2,3,1,3,1,3,3,1,2,3,3,3,2,2,3,1,1,1,3,2,2,1,1,1,2,1,1,1,1,1,3,3,2,2,3,2,2,3,2,2,3,3,2,3,2,2,1,2,3,1,1,2,3,2,1,2,3,1,1,3,1,3,2,1,1,2,2,3,2,1,3,2,1,3,2,2,2,3,2,2,3,2,2,1
49,161,106,188,43,55,84,230,98,225,65,218,34,140,105,113,81,182,106,156,112,133,24,103,70,104,20,28,165,172,77,271,186,57,0,142,97,100,46,12,47,120,217,83,110,134,94,232,180,161,48,7,163,60,214,74,84,12,230,167,35,129,60,86,18,144,207,159,195,17,104,128,155,243,95,130,35,178,12,261,91,221,10,100,29,164,156,141,91,188,61,159,216,18,102,20,130,177,25,168,198,233,189,111,47,127,28,162,146,218,205,85,87,205,134,210,172,200,22,75
258,258,245,248,236,246,251,264,237,259,253,265,238,254,266,283,240,245,274,247,278,260,244,247,251,246,237,278,283,246,238,283,240,264,234,242,283,263,277,267,261,283,281,257,245,235,260,275,252,271,233,280,247,263,280,268,238,283,269,274,259,235,236,255,244,236,279,259,283,247,236,240,269,264,263,245,262,268,275,266,261,264,251,265,247,259,253,282,273,262,242,249,266,248,256,239,273,235,255,268,235,247,282,233,271,269,275,236,282,268,270,280,235,251,264,246,279,246,253,240
42,6,14,28,43,10,20,10,20,14,15,30,14,25,44,45,16,35,33,23,18,6,19,31,14,38,6,39,21,41,43,12,2,25,40,51,32,9,21,33,42,43,33,38,19,46,36,16,20,27,46,22,34,21,35,31,45,11,29,43,11,37,41,6,24,9,35,20,46,46,44,25,18,6,8,12,12,14,32,5,28,36,32,44,27,33,17,18,44,37,22,29,45,21,24,35,13,4,17,3,12,2,29,33,16,53,50,23,40,3,2,41,35,34,33,10,5,44,20,9
44,6,13,26,47,9,24,11,22,13,13,27,14,29,46,46,19,36,38,26,18,6,18,29,14,39,7,41,21,35,39,12,2,28,36,50,35,10,24,32,44,45,31,41,18,49,35,17,18,29,51,25,34,18,31,27,40,11,28,47,9,33,42,5,26,8,36,20,38,41,43,24,18,6,8,10,10,17,32,6,32,36,37,47,25,31,15,18,42,37,22,33,53,19,27,39,13,4,18,4,11,2,27,33,16,50,50,22,37,3,2,43,33,35,37,9,5,45,23,9
47,6,14,25,49,10,24,9,20,14,13,27,13,27,50,48,19,30,31,26,16,6,19,29,14,41,8,42,23,38,40,13,2,27,36,52,33,10,20,37,41,45,36,44,18,44,35,19,20,29,51,26,35,22,33,30,46,11,30,44,10,36,37,6,26,10,39,20,43,40,38,21,16,6,8,11,11,17,30,5,28,36,35,47,29,36,16,17,46,38,22,30,49,21,24,40,13,4,18,4,11,3,30,30,15,47,42,24,34,3,2,46,30,35,38,9,5,41,21,9
44,6,14,25,49,11,20,11,20,13,15,25,15,29,48,44,19,36,38,26,18,7,18,32,13,40,6,38,21,39,39,12,2,26,35,43,33,9,22,31,41,45,32,40,17,47,39,17,20,25,49,26,33,20,35,29,42,11,28,41,10,33,40,5,25,10,38,23,44,40,43,23,16,5,8,10,10,15,31,5,29,39,32,45,29,33,16,17,46,33,21,27,49,20,25,35,13,4,16,3,12,2,27,30,16,48,49,23,35,3,2,45,30,34,39,9,5,39,22,8
45,6,15,28,46,9,23,9,19,12,13,28,13,29,53,49,18,32,36,27,18,6,19,31,13,41,7,39,24,41,35,14,2,28,37,51,33,9,20,32,39,48,32,46,17,49,40,18,21,29,44,26,35,19,36,29,48,10,30,42,10,38,41,6,25,8,39,22,40,39,44,21,18,6,8,11,10,15,29,5,28,35,31,39,25,33,16,17,40,38,26,31,46,22,27,36,13,4,18,4,10,2,30,30,16,52,50,22,41,3,2,43,33,39,36,8,5,39,19,9
45,6,14,27,43,10,20,9,21,13,15,30,13,26,48,43,17,34,32,27,15,6,18,32,14,40,7,37,23,42,36,12,2,27,36,45,32,9,20,32,43,46,36,40,20,47,35,18,21,26,48,26,36,21,31,28,42,11,29,47,11,37,44,6,27,9,42,24,41,46,39,24,16,6,8,12,11,15,29,5,32,38,37,42,28,34,16,16,48,33,24,30,45,20,23,37,14,4,15,3,11,2,27,28,15,53,43,25,37,3,2,41,29,37,38,8,5,40,23,9
