40,6
2,2,2,3,1,2,2,3,2,3,2,2,1,3,1,2,2,3,2,1,2,3,3,2,1,3,3,2,3,2,3,3,3,3,3,3,2,1,2,1
2,3,3,2,2,2,2,2,3,1,1,2,2,2,2,2,1,3,1,2,1,1,2,2,1,2,3,2,3,1,2,1,2,2,3,1,2,1,3,3
75,77,42,82,38,11,19,82,43,42,13,30,36,17,16,4,87,29,33,48,53,17,41,65,58,40,44,23,61,55,67,66,9,68,30,59,82,7,34,61
99,112,106,100,96,105,111,103,103,114,101,101,102,104,118,97,111,111,101,117,101,114,104,106,106,113,97,101,114,115,113,108,109,110,112,114,104,115,105,99
26,30,16,14,45,38,33,6,45,37,36,7,12,32,26,44,1,10,19,9,17,3,15,15,7,46,37,31,35,12,39,10,42,20,11,51,5,33,47,18
25,28,16,17,41,36,35,5,45,35,37,7,12,32,24,48,0,12,17,8,19,3,15,16,6,52,34,29,32,14,34,10,38,20,10,45,6,32,47,18
27,30,19,15,43,38,30,6,39,39,35,8,13,34,21,46,1,10,17,9,17,3,16,17,6,51,35,30,30,13,39,11,43,22,11,48,6,33,46,18
26,27,17,15,40,40,36,5,41,42,39,7,12,32,25,42,0,11,19,8,19,3,15,16,7,52,36,30,33,13,34,10,38,19,11,43,6,29,48,17
27,26,18,17,45,37,33,5,44,35,35,8,11,32,24,44,0,10,18,8,18,3,15,15,6,43,36,31,32,13,38,9,39,20,11,50,6,33,52,17
24,27,19,17,40,36,33,5,45,37,36,8,12,32,22,44,0,12,18,8,19,3,16,15,7,53,40,33,30,14,32,11,40,20,11,44,6,31,49,16
